,date,PULocationID,DOLocationID,total_trip_miles,total_driver_pay
279,2023-10-07,61.0,132.0,5405.753,22582.0
280,2023-10-08,68.0,138.0,5946.936,24357.85
281,2023-10-09,79.0,37.0,6474.813,24942.609999999997
282,2023-10-10,79.0,61.0,5725.215,21358.09
283,2023-10-11,132.0,138.0,4643.148000000001,16088.050000000001
284,2023-10-12,138.0,138.0,4657.781999999999,18285.23
285,2023-10-13,138.0,132.0,4872.017,19597.9
286,2023-10-14,231.0,138.0,5439.178,22162.719999999998
287,2023-10-15,79.0,138.0,6323.654,26713.4
288,2023-10-16,79.0,79.0,6910.0779999999995,29013.43
289,2023-10-17,68.0,138.0,6354.611,23208.6
290,2023-10-18,138.0,138.0,4980.6720000000005,19233.67
291,2023-10-19,234.0,132.0,4687.92,19203.28
292,2023-10-20,138.0,138.0,4832.533,20009.32
293,2023-10-21,246.0,161.0,5123.13,21225.379999999997
294,2023-10-22,138.0,138.0,6153.502,25546.530000000002
295,2023-10-23,79.0,61.0,6561.396,26606.199999999997
296,2023-10-24,79.0,61.0,6465.421,23963.32
297,2023-10-25,61.0,138.0,4489.495,17466.4
298,2023-10-26,79.0,61.0,4359.125,19353.129999999997
299,2023-10-27,79.0,230.0,4839.258,19494.35
300,2023-10-28,249.0,138.0,5609.04,23989.019999999997
301,2023-10-29,79.0,79.0,6628.118,29549.059999999998
302,2023-10-30,79.0,79.0,7543.635,31842.100000000002
303,2023-10-31,61.0,79.0,7272.062,29894.91
304,2023-11-01,138.0,138.0,5293.233,20927.370000000003
305,2023-11-02,76.0,61.0,4489.726000000001,17073.0
306,2023-11-03,231.0,138.0,5077.673,20431.01
307,2023-11-04,138.0,230.0,5681.34,22243.79
308,2023-11-05,79.0,61.0,6300.475,25246.760000000002
309,2023-11-06,148.0,79.0,6595.477000000001,24683.079999999998
310,2023-11-07,138.0,138.0,6548.148999999999,24231.55
311,2023-11-08,138.0,138.0,5147.2570000000005,18496.769999999997
312,2023-11-09,230.0,161.0,4954.738,19339.36
313,2023-11-10,79.0,132.0,5220.724,20503.239999999998
314,2023-11-11,138.0,138.0,5507.8,20591.45
315,2023-11-12,79.0,138.0,6294.522,25063.66
316,2023-11-13,79.0,249.0,7377.307,29795.22
317,2023-11-14,79.0,138.0,6805.37,25354.47
318,2023-11-15,132.0,138.0,5514.374,21279.11
319,2023-11-16,138.0,132.0,5227.085999999999,20706.12
320,2023-11-17,230.0,138.0,5501.147,21497.519999999997
321,2023-11-18,138.0,138.0,6055.173000000001,24193.269999999997
322,2023-11-19,231.0,132.0,6642.995,28147.510000000002
323,2023-11-20,79.0,79.0,7302.045,28421.0
324,2023-11-21,79.0,138.0,6279.553,22259.760000000002
325,2023-11-22,76.0,132.0,5728.772,20811.34
326,2023-11-23,230.0,132.0,5399.017,22434.69
327,2023-11-24,164.0,138.0,5853.0599999999995,22827.45
328,2023-11-25,61.0,42.0,6089.5599999999995,21502.32
329,2023-11-26,42.0,89.0,5279.158,18036.41
330,2023-11-27,138.0,132.0,5795.0,20415.489999999998
331,2023-11-28,138.0,138.0,6035.008,21070.36
332,2023-11-29,138.0,132.0,4917.577,18639.55
333,2023-11-30,237.0,161.0,4904.54,20285.690000000002
334,2023-12-01,138.0,132.0,5568.398999999999,21067.07
335,2023-12-02,138.0,132.0,5817.696,23197.69
336,2023-12-03,138.0,138.0,6933.245,27386.46
337,2023-12-04,148.0,79.0,6916.632,27283.85
338,2023-12-05,79.0,132.0,6750.889,23824.25
339,2023-12-06,161.0,132.0,5316.2,20653.54
340,2023-12-07,138.0,132.0,5528.624,22117.25
341,2023-12-08,234.0,162.0,5659.976,23013.690000000002
342,2023-12-09,138.0,132.0,6096.504,26436.6
343,2023-12-10,79.0,138.0,6830.094,28716.58
344,2023-12-11,79.0,79.0,7288.661,29716.4
345,2023-12-12,79.0,138.0,6634.114,25065.199999999997
346,2023-12-13,132.0,132.0,5831.393,21579.870000000003
347,2023-12-14,161.0,132.0,5184.9130000000005,20555.89
348,2023-12-15,234.0,132.0,5055.477999999999,20488.32
349,2023-12-16,61.0,132.0,5752.18,22877.559999999998
350,2023-12-17,138.0,132.0,6651.734,25423.589999999997
351,2023-12-18,76.0,138.0,6639.055,23869.100000000002
352,2023-12-19,79.0,138.0,5805.744999999999,19897.85
353,2023-12-20,61.0,138.0,5430.102,18786.089999999997
354,2023-12-21,76.0,138.0,4755.237,16608.98
355,2023-12-22,89.0,138.0,5278.1990000000005,18065.129999999997
356,2023-12-23,61.0,138.0,5579.532999999999,19318.29
357,2023-12-24,76.0,138.0,5544.379,17614.22
358,2023-12-25,188.0,61.0,4473.329,13042.720000000001
359,2023-12-26,186.0,76.0,3855.8469999999998,11981.35
360,2023-12-27,132.0,132.0,4333.983,13748.630000000001
361,2023-12-28,61.0,138.0,4220.3,13688.1
362,2023-12-29,132.0,76.0,4647.023999999999,14670.47
363,2023-12-30,138.0,61.0,5012.954,16028.650000000001
364,2023-12-31,76.0,132.0,5574.725,17595.120000000003
